supplier,temperature_k,leak_rate,he_loss_g_year
Meca Inox (HDPE),80,1.6861288382868807e-07,0.016009691514388927
Meca Inox (HDPE),80,1.8936988889503602e-07,0.017980556612767006
Meca Inox (HDPE),80,2.1268217472962126e-07,0.020194044077260914
Meca Inox (HDPE),80,2.3886430789846004e-07,0.02268002181338478
Meca Inox (HDPE),80,2.6826957952797275e-07,0.02547203460028199
Meca Inox (HDPE),80,3.012947724726992e-07,0.028607756730421412
Meca Inox (HDPE),80,3.3838551534282333e-07,0.03212950037127821
Meca Inox (HDPE),80,3.8004229563658816e-07,0.036084786508626045
Meca Inox (HDPE),80,4.2682721311638166e-07,0.04052698617551886
Meca Inox (HDPE),80,4.793715645558218e-07,0.04551604061944711
Meca Inox (HDPE),80,5.383843622033489e-07,0.05111927012531254
Meca Inox (HDPE),80,6.046619009070435e-07,0.057412282408153235
Meca Inox (HDPE),80,6.790985029955721e-07,0.0644799928331018
Meca Inox (HDPE),80,7.626985859023451e-07,0.07241777022901309
Meca Inox (HDPE),80,8.565902153685499e-07,0.08133272375690889
Meca Inox (HDPE),80,9.62040327106476e-07,0.09134514819772022
Meca Inox (HDPE),80,1.0804718223181286e-06,0.10259014716145773
Meca Inox (HDPE),80,1.213482767749143e-06,0.11521945612073817
Meca Inox (HDPE),80,1.3628679593557755e-06,0.12940348986794548
Meca Inox (HDPE),80,1.5306431405563594e-06,0.14533364202358437
Meca Inox (HDPE),80,1.7190722018585747e-06,0.16322486762446622
Meca Inox (HDPE),80,1.9306977288832498e-06,0.1833185836401256
Meca Inox (HDPE),80,2.168375310987433e-06,0.20588592655586554
Meca Inox (HDPE),80,2.4353120734334173e-06,0.23123141097894145
Meca Inox (HDPE),80,2.735109953041211e-06,0.2596970386356346
Meca Inox (HDPE),80,3.0718143012686963e-06,0.29166691320436705
Meca Inox (HDPE),80,3.4499684705497157e-06,0.3275724232555454
Meca Inox (HDPE),80,3.874675120456128e-06,0.3678980632346321
Meca Inox (HDPE),80,4.35166507092442e-06,0.41318797103444005
Meca Inox (HDPE),80,4.887374631624427e-06,0.4640532703720029
Meca Inox (HDPE),80,5.4890324509215575e-06,0.5211803170451003
Meca Inox (HDPE),80,6.1647570563371605e-06,0.5853399603400771
Meca Inox (HDPE),80,6.9236664026787345e-06,0.6573979445606634
Meca Inox (HDPE),80,7.776000906038043e-06,0.7383265910318099
Meca Inox (HDPE),80,8.733261623828437e-06,0.8292179182108024
Meca Inox (HDPE),80,9.80836544540667e-06,0.9312983769431005
Meca Inox (HDPE),80,1.1015819387358996e-05,1.0459453996945172
Meca Inox (HDPE),80,1.2371916345321619e-05,1.1747059870683805
Meca Inox (HDPE),80,1.3894954943731388e-05,1.3193175824066192
Meca Inox (HDPE),80,1.560548645007075e-05,1.4817315161482403
Meca Inox (HDPE),80,1.7526592085367583e-05,1.6641393362938532
Meca Inox (HDPE),80,1.968419447286611e-05,1.8690023802689266
Meca Inox (HDPE),80,2.210740742743128e-05,2.0990849872165382
Meca Inox (HDPE),80,2.48289288056033e-05,2.357491798872857
Meca Inox (HDPE),80,2.7885481717262916e-05,2.647709652348369
Meca Inox (HDPE),80,3.131831005243845e-05,2.9736546300990128
Meca Inox (HDPE),80,3.51737350096938e-05,3.339724901960601
Meca Inox (HDPE),80,3.950378013566649e-05,3.7508600722755725
Meca Inox (HDPE),80,4.436687330978616e-05,4.212607832918166
Meca Inox (HDPE),80,4.982863514647306e-05,4.731198821607146
Meca Inox (HDPE),80,5.5962764453195526e-05,5.313630695613741
Meca Inox (HDPE),80,6.285203269240097e-05,5.967762555321549
Meca Inox (HDPE),80,7.058940086618752e-05,6.702420991751765
Meca Inox (HDPE),80,7.927927389450606e-05,7.5275191890160835
Meca Inox (HDPE),80,8.903890941296736e-05,8.454190688817894
Meca Inox (HDPE),80,9.999999999999999e-05,9.494939621965594
Meca Inox (HDPE),300,9.999999999999999e-11,2.5319838991908253e-06
Meca Inox (HDPE),300,1.1231045018329516e-10,2.8436825157497666e-06
Meca Inox (HDPE),300,1.2613637220374422e-10,3.1937526352222166e-06
Meca Inox (HDPE),300,1.4166432746690192e-10,3.586917962358923e-06
Meca Inox (HDPE),300,1.59103843927215e-10,4.028483711230784e-06
Meca Inox (HDPE),300,1.786902433735825e-10,4.52440819164401e-06
Meca Inox (HDPE),300,2.0068781676649705e-10,5.081383208165292e-06
Meca Inox (HDPE),300,2.2539339047347936e-10,5.706924356628806e-06
Meca Inox (HDPE),300,2.5314033152415694e-10,6.409472436549932e-06
Meca Inox (HDPE),300,2.843030459302665e-10,7.198507347863445e-06
Meca Inox (HDPE),300,3.193020307691027e-10,8.084676008863017e-06
Meca Inox (HDPE),300,3.586095482011829e-10,9.079936021414913e-06
Meca Inox (HDPE),300,4.027559979850293e-10,1.0197717022006267e-05
Meca Inox (HDPE),300,4.5233707447720966e-10,1.1453101895833764e-05
Meca Inox (HDPE),300,5.080218046913012e-10,1.2863030299162409e-05
Meca Inox (HDPE),300,5.705615758781032e-10,1.444652723620302e-05
Meca Inox (HDPE),300,6.408002744416009e-10,1.622495977483196e-05
Meca Inox (HDPE),300,7.196856730011528e-10,1.8222325365172324e-05
Meca Inox (HDPE),300,8.082822192522722e-10,2.0465575651489826e-05
Meca Inox (HDPE),300,9.077853991937559e-10,2.298498014679106e-05
Meca Inox (HDPE),300,1.0195378685327303e-09,2.5814534677402058e-05
Meca Inox (HDPE),300,1.1450475699382812e-09,2.8992420108913087e-05
Meca Inox (HDPE),300,1.286008080610565e-09,3.256151754335248e-05
Meca Inox (HDPE),300,1.4443214647272788e-09,3.65699869394518e-05
Meca Inox (HDPE),300,1.6221239391291694e-09,4.107191696367057e-05
Meca Inox (HDPE),300,1.8218146985669712e-09,4.6128054840807584e-05
Meca Inox (HDPE),300,2.046088289466015e-09,5.180662605250848e-05
Meca Inox (HDPE),300,2.297970969046965e-09,5.818425494434854e-05
Meca Inox (HDPE),300,2.5808615404180765e-09,6.534699866379402e-05
Meca Inox (HDPE),300,2.8985772146510677e-09,7.339150838057894e-05
Meca Inox (HDPE),300,3.255405118685032e-09,8.2426333458539e-05
Meca Inox (HDPE),300,3.6561601440851937e-09,9.257338617686919e-05
Meca Inox (HDPE),300,4.106249917244294e-09,0.00010396958676516211
Meca Inox (HDPE),300,4.611747767708251e-09,0.00011676871094966523
Meca Inox (HDPE),300,5.179474679231223e-09,0.00013114346494080023
Meca Inox (HDPE),300,5.817091329374369e-09,0.00014728781586098458
Meca Inox (HDPE),300,6.533201459593783e-09,0.0001654196090586146
Meca Inox (HDPE),300,7.337467970651389e-09,0.00018578350762517697
Meca Inox (HDPE),300,8.240743309893666e-09,0.00020865429378015275
Meca Inox (HDPE),300,9.255215909791354e-09,0.00023434057667126476
Meca Inox (HDPE),300,1.0394574653722626e-08,0.00026318895662162743
Meca Inox (HDPE),300,1.1674193588234575e-08,0.0002955887020144671
Meca Inox (HDPE),300,1.311133937421563e-08,0.0003319770019234069
Meca Inox (HDPE),300,1.4725404276241208e-08,0.0003728448653651848
Meca Inox (HDPE),300,1.653816783395673e-08,0.00041874374677694054
Meca Inox (HDPE),300,1.8574090746385717e-08,0.0004702929871195794
Meca Inox (HDPE),300,2.0860644934719607e-08,0.000528188171014467
Meca Inox (HDPE),300,2.3428684237322352e-08,0.0005932105126812609
Meca Inox (HDPE),300,2.6312860738959445e-08,0.0006662373973269572
Meca Inox (HDPE),300,2.955209235202888e-08,0.0007482542202273746
Meca Inox (HDPE),300,3.319008795914677e-08,0.0008403676832528691
Meca Inox (HDPE),300,3.7275937203149377e-08,0.0009438207282562251
Meca Inox (HDPE),300,4.186477288289947e-08,0.0010600093088278216
Meca Inox (HDPE),300,4.701851489299856e-08,0.001190501226729364
Meca Inox (HDPE),300,5.2806705745826367e-08,0.0013370572871774004
Meca Inox (HDPE),300,5.930744895010559e-08,0.001501655058437492
Meca Inox (HDPE),300,6.660846290809168e-08,0.0016865155563313744
Meca Inox (HDPE),300,7.480826455225093e-08,0.0018941332137270717
Meca Inox (HDPE),300,8.401749869294344e-08,0.00212730953940819
Meca Inox (HDPE),300,9.43604310147889e-08,0.0023891909205015216
Meca Inox (HDPE),300,1.0597662486760708e-07,0.002683311078553672
Meca Inox (HDPE),300,1.1902282447787144e-07,0.0030136387521418617
Meca Inox (HDPE),300,1.3367506999197063e-07,0.003384631249428763
Meca Inox (HDPE),300,1.501310728908174e-07,0.0038012945932779387
Meca Inox (HDPE),300,1.6861288382868807e-07,0.004269251070503714
Meca Inox (HDPE),300,1.8936988889503602e-07,0.004794815096737869
Meca Inox (HDPE),300,2.1268217472962126e-07,0.005385078420602909
Meca Inox (HDPE),300,2.3886430789846004e-07,0.006048005816902608
Meca Inox (HDPE),300,2.6826957952797275e-07,0.0067925425600751975
Meca Inox (HDPE),300,3.012947724726992e-07,0.007628735128112376
Meca Inox (HDPE),300,3.3838551534282333e-07,0.008567866765674188
Meca Inox (HDPE),300,3.8004229563658816e-07,0.009622609735633612
Meca Inox (HDPE),300,4.2682721311638166e-07,0.010807196313471696
Meca Inox (HDPE),300,4.793715645558218e-07,0.012137610831852564
Meca Inox (HDPE),300,5.383843622033489e-07,0.013631805366750011
Meca Inox (HDPE),300,6.046619009070435e-07,0.015309941975507528
Meca Inox (HDPE),300,6.790985029955721e-07,0.017194664755493812
Meca Inox (HDPE),300,7.626985859023451e-07,0.019311405394403486
Meca Inox (HDPE),300,8.565902153685499e-07,0.0216887263351757
Meca Inox (HDPE),300,9.62040327106476e-07,0.024358706186058725
Meca Inox (HDPE),300,1.0804718223181286e-06,0.027357372576388726
Meca Inox (HDPE),300,1.213482767749143e-06,0.03072518829886351
Meca Inox (HDPE),300,1.3628679593557755e-06,0.0345075972981188
Meca Inox (HDPE),300,1.5306431405563594e-06,0.03875563787295583
Meca Inox (HDPE),300,1.7190722018585747e-06,0.04352663136652433
Meca Inox (HDPE),300,1.9306977288832498e-06,0.04888495563736682
Meca Inox (HDPE),300,2.168375310987433e-06,0.054902913748230794
Meca Inox (HDPE),300,2.4353120734334173e-06,0.06166170959438438
Meca Inox (HDPE),300,2.735109953041211e-06,0.06925254363616921
Meca Inox (HDPE),300,3.0718143012686963e-06,0.07777784352116456
Meca Inox (HDPE),300,3.4499684705497157e-06,0.08735264620147878
Meca Inox (HDPE),300,3.874675120456128e-06,0.0981061501959019
Meca Inox (HDPE),300,4.35166507092442e-06,0.11018345894251734
Meca Inox (HDPE),300,4.887374631624427e-06,0.12374753876586743
Meca Inox (HDPE),300,5.4890324509215575e-06,0.1389814178786934
Meca Inox (HDPE),300,6.1647570563371605e-06,0.15609065609068723
Meca Inox (HDPE),300,6.9236664026787345e-06,0.1753061185495102
Meca Inox (HDPE),300,7.776000906038043e-06,0.196887090941816
Meca Inox (HDPE),300,8.733261623828437e-06,0.2211247781895473
Meca Inox (HDPE),300,9.80836544540667e-06,0.24834623385149343
Meca Inox (HDPE),300,1.1015819387358996e-05,0.27891877325187125
Meca Inox (HDPE),300,1.2371916345321619e-05,0.31325492988490145
Meca Inox (HDPE),300,1.3894954943731388e-05,0.3518180219750984
Meca Inox (HDPE),300,1.560548645007075e-05,0.39512840430619744
Meca Inox (HDPE),300,1.7526592085367583e-05,0.44377048967836086
Meca Inox (HDPE),300,1.968419447286611e-05,0.4984006347383805
Meca Inox (HDPE),300,2.210740742743128e-05,0.5597559965910768
Meca Inox (HDPE),300,2.48289288056033e-05,0.6286644796994285
Meca Inox (HDPE),300,2.7885481717262916e-05,0.7060559072928984
Meca Inox (HDPE),300,3.131831005243845e-05,0.7929745680264033
Meca Inox (HDPE),300,3.51737350096938e-05,0.8905933071894936
Meca Inox (HDPE),300,3.950378013566649e-05,1.0002293526068193
Meca Inox (HDPE),300,4.436687330978616e-05,1.1233620887781777
Meca Inox (HDPE),300,4.982863514647306e-05,1.2616530190952389
Meca Inox (HDPE),300,5.5962764453195526e-05,1.4169681854969975
Meca Inox (HDPE),300,6.285203269240097e-05,1.5914033480857466
Meca Inox (HDPE),300,7.058940086618752e-05,1.787312264467137
Meca Inox (HDPE),300,7.927927389450606e-05,2.007338450404289
Meca Inox (HDPE),300,8.903890941296736e-05,2.254450850351438
Meca Inox (HDPE),300,9.999999999999999e-05,2.5319838991908252
Swagelok SS-42GSE (UHMWPE),4,9.999999999999999e-11,0.00018989879243931193
Swagelok SS-42GSE (UHMWPE),4,1.1231045018329516e-10,0.00021327618868123254
Swagelok SS-42GSE (UHMWPE),4,1.2613637220374422e-10,0.00023953144764166627
Swagelok SS-42GSE (UHMWPE),4,1.4166432746690192e-10,0.00026901884717691927
Swagelok SS-42GSE (UHMWPE),4,1.59103843927215e-10,0.00030213627834230883
Swagelok SS-42GSE (UHMWPE),4,1.786902433735825e-10,0.00033933061437330076
Swagelok SS-42GSE (UHMWPE),4,2.0068781676649705e-10,0.0003811037406123969
Swagelok SS-42GSE (UHMWPE),4,2.2539339047347936e-10,0.0004280193267471605
Swagelok SS-42GSE (UHMWPE),4,2.5314033152415694e-10,0.00048071043274124493
Swagelok SS-42GSE (UHMWPE),4,2.843030459302665e-10,0.0005398880510897585
Swagelok SS-42GSE (UHMWPE),4,3.193020307691027e-10,0.0006063507006647264
Swagelok SS-42GSE (UHMWPE),4,3.586095482011829e-10,0.0006809952016061185
Swagelok SS-42GSE (UHMWPE),4,4.027559979850293e-10,0.0007648287766504701
