supplier,temperature_k,size,pressure_bar,he_loss_kg_year
Meca Inox (HDPE),300,DN12,4,2.0255871193526606e-07
Meca Inox (HDPE),300,DN12,5,2.5319838991908257e-07
Meca Inox (HDPE),300,DN12,6,3.0383806790289914e-07
Meca Inox (HDPE),300,DN12,7,3.5447774588671565e-07
Meca Inox (HDPE),300,DN12,8,4.051174238705321e-07
Meca Inox (HDPE),300,DN12,9,4.557571018543487e-07
Meca Inox (HDPE),300,DN12,10,5.063967798381651e-07
Meca Inox (HDPE),300,DN12,11,5.570364578219818e-07
Meca Inox (HDPE),300,DN12,12,6.076761358057983e-07
Meca Inox (HDPE),300,DN25,1,6.329959747977064e-08
Meca Inox (HDPE),300,DN25,2,1.2659919495954129e-07
Meca Inox (HDPE),300,DN25,3,1.8989879243931196e-07
Meca Inox (HDPE),300,DN25,4,2.5319838991908257e-07
Meca Inox (HDPE),300,DN25,5,3.164979873988532e-07
Meca Inox (HDPE),300,DN25,6,3.797975848786239e-07
Meca Inox (HDPE),300,DN25,7,4.4309718235839455e-07
Meca Inox (HDPE),300,DN25,8,5.063967798381651e-07
Meca Inox (HDPE),300,DN25,9,5.696963773179358e-07
Meca Inox (HDPE),300,DN25,10,6.329959747977064e-07
Meca Inox (HDPE),300,DN25,11,6.962955722774772e-07
Meca Inox (HDPE),300,DN25,12,7.595951697572478e-07
Meca Inox (HDPE),300,DN50,1,8.102348477410643e-08
Meca Inox (HDPE),300,DN50,2,1.6204696954821287e-07
Meca Inox (HDPE),300,DN50,3,2.430704543223193e-07
Meca Inox (HDPE),300,DN50,4,3.2409393909642574e-07
Meca Inox (HDPE),300,DN50,5,4.051174238705321e-07
Meca Inox (HDPE),300,DN50,6,4.861409086446386e-07
Meca Inox (HDPE),300,DN50,7,5.671643934187451e-07
Meca Inox (HDPE),300,DN50,8,6.481878781928515e-07
Meca Inox (HDPE),300,DN50,9,7.29211362966958e-07
Meca Inox (HDPE),300,DN50,10,8.102348477410642e-07
Meca Inox (HDPE),300,DN50,11,8.912583325151708e-07
Meca Inox (HDPE),300,DN50,12,9.722818172892772e-07
Swagelok SS-42GSE (UHMWPE),4,DN06,1,3.038380679028992e-07
Swagelok SS-42GSE (UHMWPE),4,DN06,2,6.076761358057984e-07
Swagelok SS-42GSE (UHMWPE),4,DN06,3,9.115142037086976e-07
Swagelok SS-42GSE (UHMWPE),4,DN06,4,1.2153522716115968e-06
Swagelok SS-42GSE (UHMWPE),4,DN06,5,1.5191903395144959e-06
Swagelok SS-42GSE (UHMWPE),4,DN06,6,1.8230284074173952e-06
Swagelok SS-42GSE (UHMWPE),4,DN06,7,2.1268664753202936e-06
Swagelok SS-42GSE (UHMWPE),4,DN06,8,2.4307045432231935e-06
Swagelok SS-42GSE (UHMWPE),4,DN06,9,2.734542611126093e-06
Swagelok SS-42GSE (UHMWPE),4,DN06,10,3.0383806790289917e-06
Swagelok SS-42GSE (UHMWPE),4,DN06,11,3.34221874693189e-06
Swagelok SS-42GSE (UHMWPE),4,DN06,12,3.6460568148347903e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,1,3.7979758487862396e-07
Swagelok SS-42GSE (UHMWPE),4,DN12,2,7.595951697572479e-07
Swagelok SS-42GSE (UHMWPE),4,DN12,3,1.1393927546358719e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,4,1.5191903395144959e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,5,1.8989879243931196e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,6,2.2787855092717438e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,7,2.658583094150367e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,8,3.0383806790289917e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,9,3.418178263907616e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,10,3.7979758487862392e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,11,4.177773433664862e-06
Swagelok SS-42GSE (UHMWPE),4,DN12,12,4.5575710185434876e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,1,4.7474698109827996e-07
Swagelok SS-42GSE (UHMWPE),4,DN25,2,9.494939621965599e-07
Swagelok SS-42GSE (UHMWPE),4,DN25,3,1.42424094329484e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,4,1.8989879243931198e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,5,2.3737349054913995e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,6,2.84848188658968e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,7,3.323228867687959e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,8,3.7979758487862396e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,9,4.2727228298845195e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,10,4.747469810982799e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,11,5.222216792081078e-06
Swagelok SS-42GSE (UHMWPE),4,DN25,12,5.69696377317936e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,1,6.076761358057984e-07
Swagelok SS-42GSE (UHMWPE),4,DN50,2,1.2153522716115968e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,3,1.8230284074173952e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,4,2.4307045432231935e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,5,3.0383806790289917e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,6,3.6460568148347903e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,7,4.253732950640587e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,8,4.861409086446387e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,9,5.469085222252186e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,10,6.0767613580579834e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,11,6.68443749386378e-06
Swagelok SS-42GSE (UHMWPE),4,DN50,12,7.292113629669581e-06
Swagelok SS-42GSE (UHMWPE),20,DN06,1,6.076761358057984e-08
Swagelok SS-42GSE (UHMWPE),20,DN06,2,1.2153522716115968e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,3,1.8230284074173952e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,4,2.4307045432231935e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,5,3.0383806790289925e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,6,3.6460568148347903e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,7,4.2537329506405866e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,8,4.861409086446387e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,9,5.469085222252184e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,10,6.076761358057985e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,11,6.684437493863781e-07
Swagelok SS-42GSE (UHMWPE),20,DN06,12,7.292113629669581e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,1,7.59595169757248e-08
Swagelok SS-42GSE (UHMWPE),20,DN12,2,1.519190339514496e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,3,2.2787855092717437e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,4,3.038380679028992e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,5,3.79797584878624e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,6,4.5575710185434874e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,7,5.317166188300733e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,8,6.076761358057984e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,9,6.83635652781523e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,10,7.59595169757248e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,11,8.355546867329726e-07
Swagelok SS-42GSE (UHMWPE),20,DN12,12,9.115142037086975e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,1,9.494939621965599e-08
Swagelok SS-42GSE (UHMWPE),20,DN25,2,1.8989879243931198e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,3,2.8484818865896797e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,4,3.7979758487862396e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,5,4.7474698109828e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,6,5.696963773179359e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,7,6.646457735375916e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,8,7.595951697572479e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,9,8.545445659769039e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,10,9.4949396219656e-07
Swagelok SS-42GSE (UHMWPE),20,DN25,11,1.0444433584162157e-06
Swagelok SS-42GSE (UHMWPE),20,DN25,12,1.1393927546358719e-06
Swagelok SS-42GSE (UHMWPE),20,DN50,1,1.2153522716115968e-07
Swagelok SS-42GSE (UHMWPE),20,DN50,2,2.4307045432231935e-07
Swagelok SS-42GSE (UHMWPE),20,DN50,3,3.6460568148347903e-07
Swagelok SS-42GSE (UHMWPE),20,DN50,4,4.861409086446387e-07
Swagelok SS-42GSE (UHMWPE),20,DN50,5,6.076761358057985e-07
Swagelok SS-42GSE (UHMWPE),20,DN50,6,7.292113629669581e-07
Swagelok SS-42GSE (UHMWPE),20,DN50,7,8.507465901281173e-07
Swagelok SS-42GSE (UHMWPE),20,DN50,8,9.722818172892774e-07
Swagelok SS-42GSE (UHMWPE),20,DN50,9,1.0938170444504369e-06
Swagelok SS-42GSE (UHMWPE),20,DN50,10,1.215352271611597e-06
Swagelok SS-42GSE (UHMWPE),20,DN50,11,1.3368874987727562e-06
Swagelok SS-42GSE (UHMWPE),20,DN50,12,1.4584227259339161e-06
Swagelok SS-42GSE (UHMWPE),80,DN06,1,1.519190339514496e-08
Swagelok SS-42GSE (UHMWPE),80,DN06,2,3.038380679028992e-08
Swagelok SS-42GSE (UHMWPE),80,DN06,3,4.557571018543488e-08
Swagelok SS-42GSE (UHMWPE),80,DN06,4,6.076761358057984e-08
Swagelok SS-42GSE (UHMWPE),80,DN06,5,7.595951697572481e-08
