day,Q=1e-09,Q=1e-08,Q=1e-05,Q=1e-04
248,4999.999998044636,4999.999980446361,4999.9804463614555,4999.804463614553
249,4999.999998036752,4999.999980367516,4999.980367516138,4999.803675161385
250,4999.999998028867,4999.9999802886705,4999.980288670822,4999.8028867082185
251,4999.999998020982,4999.9999802098255,4999.980209825505,4999.8020982550515
252,4999.999998013098,4999.9999801309805,4999.980130980189,4999.801309801885
253,4999.9999980052135,4999.999980052135,4999.980052134872,4999.800521348718
254,4999.999997997329,4999.99997997329,4999.979973289555,4999.79973289555
255,4999.999997989445,4999.999979894445,4999.979894444238,4999.798944442383
256,4999.99999798156,4999.999979815599,4999.979815598922,4999.798155989216
257,4999.999997973675,4999.999979736754,4999.979736753605,4999.797367536049
258,4999.9999979657905,4999.999979657909,4999.979657908289,4999.796579082881
259,4999.999997957906,4999.999979579063,4999.979579062971,4999.795790629714
260,4999.999997950022,4999.999979500218,4999.979500217655,4999.795002176547
261,4999.999997942137,4999.999979421373,4999.979421372338,4999.79421372338
262,4999.999997934253,4999.999979342527,4999.979342527021,4999.793425270213
263,4999.999997926368,4999.999979263682,4999.979263681705,4999.792636817046
264,4999.999997918484,4999.999979184837,4999.9791848363875,4999.791848363879
265,4999.999997910599,4999.999979105991,4999.979105991071,4999.791059910712
266,4999.999997902714,4999.999979027146,4999.979027145754,4999.790271457545
267,4999.99999789483,4999.999978948301,4999.978948300438,4999.789483004378
268,4999.9999978869455,4999.999978869455,4999.978869455121,4999.78869455121
269,4999.999997879061,4999.99997879061,4999.9787906098045,4999.787906098043
270,4999.999997871177,4999.999978711765,4999.978711764487,4999.787117644876
271,4999.999997863292,4999.999978632919,4999.978632919171,4999.786329191709
272,4999.999997855407,4999.999978554074,4999.978554073854,4999.785540738542
273,4999.9999978475225,4999.999978475228,4999.978475228538,4999.784752285374
274,4999.999997839638,4999.999978396383,4999.978396383221,4999.7839638322075
275,4999.999997831754,4999.999978317538,4999.978317537904,4999.783175379041
276,4999.999997823869,4999.999978238692,4999.978238692587,4999.782386925874
277,4999.999997815985,4999.999978159847,4999.978159847271,4999.781598472706
278,4999.9999978081005,4999.999978081002,4999.978081001954,4999.780810019539
279,4999.999997800216,4999.999978002156,4999.978002156638,4999.780021566372
280,4999.999997792331,4999.999977923311,4999.97792331132,4999.779233113205
281,4999.999997784446,4999.999977844466,4999.977844466004,4999.778444660038
282,4999.999997776562,4999.99997776562,4999.977765620687,4999.77765620687
283,4999.9999977686775,4999.999977686775,4999.977686775371,4999.776867753703
284,4999.999997760793,4999.99997760793,4999.977607930054,4999.776079300536
285,4999.999997752909,4999.999977529084,4999.9775290847365,4999.775290847369
286,4999.999997745024,4999.999977450239,4999.97745023942,4999.7745023942025
287,4999.999997737139,4999.999977371394,4999.977371394103,4999.773713941035
288,4999.999997729255,4999.9999772925485,4999.977292548787,4999.772925487868
289,4999.99999772137,4999.9999772137035,4999.97721370347,4999.772137034701
290,4999.999997713486,4999.999977134858,4999.9771348581535,4999.771348581534
291,4999.999997705601,4999.9999770560125,4999.977056012836,4999.770560128367
292,4999.999997697717,4999.9999769771675,4999.97697716752,4999.769771675199
293,4999.9999976898325,4999.9999768983225,4999.976898322203,4999.768983222032
294,4999.999997681948,4999.999976819477,4999.976819476887,4999.768194768865
295,4999.999997674063,4999.999976740632,4999.97674063157,4999.767406315698
296,4999.999997666178,4999.999976661787,4999.976661786253,4999.76661786253
297,4999.999997658294,4999.999976582941,4999.976582940936,4999.7658294093635
298,4999.99999765041,4999.999976504096,4999.97650409562,4999.765040956197
299,4999.999997642525,4999.999976425251,4999.976425250303,4999.76425250303
300,4999.999997634641,4999.999976346405,4999.9763464049865,4999.763464049863
301,4999.999997626756,4999.99997626756,4999.976267559669,4999.762675596695
302,4999.999997618871,4999.999976188715,4999.976188714353,4999.761887143528
303,4999.999997610987,4999.999976109869,4999.976109869036,4999.761098690361
304,4999.999997603102,4999.999976031024,4999.97603102372,4999.760310237194
305,4999.999997595218,4999.999975952179,4999.975952178403,4999.759521784027
306,4999.999997587333,4999.999975873333,4999.975873333086,4999.758733330859
307,4999.999997579449,4999.999975794488,4999.975794487769,4999.757944877692
308,4999.999997571565,4999.999975715643,4999.975715642452,4999.757156424525
309,4999.99999756368,4999.999975636797,4999.975636797136,4999.7563679713585
310,4999.999997555795,4999.999975557952,4999.975557951819,4999.755579518192
311,4999.99999754791,4999.999975479106,4999.9754791065025,4999.754791065024
312,4999.999997540026,4999.999975400261,4999.975400261185,4999.754002611857
313,4999.999997532142,4999.999975321416,4999.975321415869,4999.75321415869
314,4999.999997524257,4999.99997524257,4999.975242570552,4999.752425705523
315,4999.999997516373,4999.999975163725,4999.975163725236,4999.751637252355
316,4999.999997508488,4999.99997508488,4999.9750848799185,4999.750848799188
317,4999.999997500603,4999.999975006034,4999.975006034602,4999.750060346021
318,4999.999997492719,4999.999974927189,4999.974927189285,4999.749271892854
319,4999.999997484834,4999.999974848344,4999.974848343969,4999.748483439687
