T (K),P (bar),g/year
210.0759493670886,1 bar,0.07231624296315085
213.8227848101266,1 bar,0.0710490390845638
217.56962025316454,1 bar,0.06982548104587222
221.31645569620252,1 bar,0.06864335210572248
225.0632911392405,1 bar,0.06750058313928299
228.81012658227849,1 bar,0.06639524055191699
232.55696202531647,1 bar,0.0653255153612264
236.30379746835442,1 bar,0.06428971331778721
240.0506329113924,1 bar,0.06328624595108899
243.79746835443038,1 bar,0.06231362244114494
247.54430379746836,1 bar,0.06137044222829065
251.29113924050634,1 bar,0.06045538828412512
255.0379746835443,1 bar,0.05956722097560312
258.7848101265823,1 bar,0.058704772462162574
262.53164556962025,1 bar,0.05786694157263508
266.27848101265823,1 bar,0.057052689114682045
270.0253164556962,1 bar,0.05626103357474459
273.7721518987342,1 bar,0.05549104717109541
277.5189873417722,1 bar,0.054741852226621576
281.2658227848101,1 bar,0.05401261783152348
285.0126582278481,1 bar,0.05330255676925083
288.75949367088606,1 bar,0.052610922681766245
292.50632911392404,1 bar,0.051937007452676626
296.253164556962,1 bar,0.05128013878894427
300.0,1 bar,0.05063967798381652
4.0,5 bar,18.989879243931195
7.746835443037975,5 bar,9.80523176647428
11.49367088607595,5 bar,6.6088126003108565
15.240506329113924,5 bar,4.984054685284268
18.9873417721519,5 bar,4.000534560721506
22.734177215189874,5 bar,3.3412036977072708
26.481012658227847,5 bar,2.8684521228882693
30.227848101265824,5 bar,2.512898593418031
33.9746835443038,5 bar,2.235768197124537
37.721518987341774,5 bar,2.013691892980624
41.46835443037975,5 bar,1.831746593736953
45.21518987341772,5 bar,1.6799557225874184
48.962025316455694,5 bar,1.5513965462984125
52.70886075949367,5 bar,1.4411147553031363
56.45569620253165,5 bar,1.3454712648166498
60.20253164556962,5 bar,1.2617329354672537
63.949367088607595,5 bar,1.1878071736108984
67.69620253164557,5 bar,1.1220646673676624
71.44303797468355,5 bar,1.0632179023887773
75.18987341772151,5 bar,1.0102360001821984
78.9367088607595,5 bar,0.9622838103082518
82.68354430379746,5 bar,0.9186775629335976
86.43037974683544,5 bar,0.8788520563975188
90.17721518987342,5 bar,0.842336024857139
93.92405063291139,5 bar,0.8087334017631076
97.67088607594937,5 bar,0.7777088959411947
101.41772151898734,5 bar,0.7489767649878007
105.16455696202532,5 bar,0.7222919885751395
108.9113924050633,5 bar,0.6974432637241119
112.65822784810126,5 bar,0.6742473978744111
116.40506329113924,5 bar,0.6525447848066832
120.15189873417721,5 bar,0.6321957270419573
123.89873417721519,5 bar,0.6130774255294501
127.64556962025317,5 bar,0.5950814995123224
131.39240506329114,5 bar,0.578111930740102
