Hours,Air leak (mbar·l/s),Purity (%)
968.4422110552764,1e-04,99.99302770224367
1012.4623115577889,1e-04,99.99271080271949
1056.4824120603016,1e-04,99.99239390520395
1100.502512562814,1e-04,99.99207700969704
1144.5226130653266,1e-04,99.99176011619872
1188.5427135678392,1e-04,99.991443224709
1232.5628140703518,1e-04,99.99112633522785
1276.5829145728644,1e-04,99.99080944775521
1320.6030150753768,1e-04,99.99049256229112
1364.6231155778894,1e-04,99.99017567883554
1408.643216080402,1e-04,99.98985879738844
1452.6633165829146,1e-04,99.9895419179498
1496.6834170854272,1e-04,99.98922504051961
1540.7035175879396,1e-04,99.98890816509785
1584.7236180904522,1e-04,99.98859129168451
1628.7437185929648,1e-04,99.98827442027957
1672.7638190954774,1e-04,99.98795755088298
1716.78391959799,1e-04,99.98764068349475
1760.8040201005024,1e-04,99.98732381811486
1804.824120603015,1e-04,99.98700695474328
1848.8442211055276,1e-04,99.98669009338
1892.8643216080402,1e-04,99.986373234025
1936.8844221105528,1e-04,99.98605637667825
1980.9045226130654,1e-04,99.98573952133974
2024.9246231155778,1e-04,99.98542266800946
2068.9447236180904,1e-04,99.98510581668737
2112.964824120603,1e-04,99.98478896737348
2156.9849246231156,1e-04,99.98447212006772
2201.005025125628,1e-04,99.98415527477013
2245.025125628141,1e-04,99.98383843148065
2289.045226130653,1e-04,99.98352159019927
2333.065326633166,1e-04,99.98320475092599
2377.0854271356784,1e-04,99.98288791366078
2421.105527638191,1e-04,99.98257107840361
2465.1256281407036,1e-04,99.98225424515446
2509.145728643216,1e-04,99.98193741391334
2553.165829145729,1e-04,99.9816205846802
2597.185929648241,1e-04,99.98130375745504
2641.2060301507536,1e-04,99.98098693223781
2685.2261306532664,1e-04,99.98067010902854
2729.246231155779,1e-04,99.98035328782717
2773.2663316582916,1e-04,99.9800364686337
2817.286432160804,1e-04,99.9797196514481
2861.3065326633164,1e-04,99.97940283627035
2905.326633165829,1e-04,99.97908602310046
2949.3467336683416,1e-04,99.97876921193838
2993.3668341708544,1e-04,99.97845240278409
3037.386934673367,1e-04,99.9781355956376
3081.407035175879,1e-04,99.97781879049884
3125.427135678392,1e-04,99.97750198736786
3169.4472361809044,1e-04,99.97718518624458
3213.467336683417,1e-04,99.97686838712902
3257.4874371859296,1e-04,99.97655159002112
3301.507537688442,1e-04,99.97623479492091
3345.527638190955,1e-04,99.97591800182833
3389.547738693467,1e-04,99.97560121074339
