he_price_eur_kg,valve_failure_rate,mttr_hours,leak_rate_mbar_l_s,leak_class_idx,material_uhmwpe,valve_count,he_loss_kg_yr,he_loss_cost_eur,maint_cost_eur,total_cost_eur
148.79884656366704,0.02187672374584354,2.6296847419451854,1e-09,0,0,454,4.310702588372383e-05,0.006414275730288245,54883.78580981291,54883.79222408864
182.26934384344088,0.014892566341851564,3.225730160139071,1e-08,1,0,402,0.00038169657280301693,0.06957158387209605,33796.426140148564,33796.49571173244
135.32728055326922,0.018226880793192454,5.928193233334992,1e-08,1,1,426,0.00040448442789573435,0.05473777765327464,59676.3034781821,59676.35821595975
231.27500104039905,0.023786719126664177,4.899796815491482,1e-06,3,1,416,0.03949894882737688,9.135119431146258,74016.25605873452,74025.39117816566
210.81274369491916,0.007496153186887341,5.227209547520322,1e-08,1,0,467,0.0004434136803457933,0.09347725454555854,21163.29988304524,21163.393360299786
203.87045079177713,0.015420006592150362,3.9456080990498386,1e-06,3,1,453,0.04301207648750415,8.76889142299787,50916.4314530903,50925.200344513294
163.2269936361415,0.03147914459560199,2.6972818349376264,1e-08,1,0,405,0.00038454505468960666,0.06276813319463011,70622.8259227585,70622.88869089169
189.2008719020699,0.0116343194453731,8.417836347725704,1e-08,1,1,455,0.0004320197527994346,0.08173851390856973,43320.65729654749,43320.7390350614
182.95380012997222,0.014007800805907657,2.8218639277259445,1e-09,0,0,409,3.883430305383931e-05,0.007104883319098886,31879.351866199788,31879.358971083107
192.60329174139355,0.020105549247851524,4.932341556134266,1e-07,2,1,393,0.003731511271432479,0.7187013540480082,59154.18602827357,59154.90472962762
126.33824813260676,0.022265138076037673,3.78195864143427,1e-09,0,0,401,3.8074707884082056e-05,0.004810291892235678,51394.909516677246,51394.91432696914
161.2797629309259,0.014999967630404221,5.300445876373661,1e-08,1,1,414,0.00039309050034937567,0.06339754270674636,46948.0524656054,46948.1158631481
122.3226826153961,0.020615715066015644,2.955154307194426,1e-07,2,1,386,0.00366504669407872,0.448318343530398,56428.05530080654,56428.50361915007
170.89561427245957,0.024863516269915516,6.770892714760598,1e-06,3,0,394,0.03741006211054445,6.393215544352359,62246.9653043474,62253.35851989176
151.42553494709108,0.03569161459010918,7.96799839648448,1e-07,2,1,366,0.003475147901639408,0.5262261300260085,105727.75238643517,105728.27861256519
132.1328703445716,0.01899004496452175,6.566335421440583,1e-08,1,1,385,0.00036555517544567545,0.04830185460095055,57124.1029014229,57124.1512032775
128.14568308238762,0.0196696214772755,4.328006416535405,1e-05,4,1,417,0.39593898223596546,50.73787133757313,60414.37169439211,60465.10956572968
183.45392416530635,0.032219618767836085,3.2179088980936807,1e-08,1,0,441,0.00041872683732868275,0.07681708146127474,80188.81756016993,80188.89437725139
134.71035236169516,0.015606673133615238,16.401130297748686,1e-08,1,1,437,0.00041492886147989654,0.05589521313499386,66702.27779122097,66702.33368643411
250.33569389724346,0.009405175737902553,2.4363038828917123,1e-09,0,0,422,4.006864520469483e-05,0.010030612100839737,21778.851111682794,21778.861142294896
182.52725397663937,0.0220019918052717,6.214648315638059,1e-08,1,0,364,0.0003456158022395477,0.0630843033137179,49997.90697320376,49997.970057507075
153.32311484551335,0.028609400200703322,4.724146006088542,1e-08,1,0,384,0.00036460568148347886,0.05590247877541809,65309.95113310651,65310.00703558528
183.91708260643114,0.022888377081597484,3.876860358176788,1e-08,1,0,404,0.00038359556072741006,0.07054977642976334,53404.31307989522,53404.38362967165
120.58751300903896,0.019223874739622036,4.3880100422738275,1e-09,0,0,438,4.158783554420933e-05,0.005014973659705115,49489.74473358976,49489.749748563416
263.05328815947496,0.00841285301492129,3.099332325551035,1e-09,0,1,393,3.731511271432481e-05,0.009815863097544572,23540.06729233788,23540.077108200978
169.41315231961195,0.019533046037853014,4.952151520445858,1e-06,3,1,373,0.03541612478993167,5.999957343607079,54573.973149967474,54579.97310731108
