leak_rate,T (K),g/year,kg/year
5.150678076168121e-07,4,0.9781075469079645,0.0009781075469079644
6.260516572014815e-07,4,1.188864537071914,0.001188864537071914
7.609496685459867e-07,4,1.4450342316397757,0.0014450342316397757
9.249147277217336e-07,4,1.7564018990369221,0.001756401899036922
1.124210035062086e-06,4,2.1348612810644667,0.002134861281064467
1.3664483492953245e-06,4,2.5948689146187323,0.002594868914618732
1.6608827826277165e-06,4,3.1539963480424764,0.0031539963480424764
2.018760254679039e-06,4,3.8336013458802736,0.0038336013458802735
2.4537511066398165e-06,4,4.659643720975265,0.004659643720975265
2.982471286216888e-06,4,5.663676957375085,0.005663676957375085
3.625117049988528e-06,4,6.884053502439823,0.006884053502439823
4.406236427773573e-06,4,8.367389768363088,0.008367389768363088
5.355666917706896e-06,4,10.170346803797115,0.010170346803797114
6.509675230458163e-06,4,12.361794654361049,0.012361794654361049
7.912342618981327e-06,4,15.02544308710657,0.01502544308710657
9.617248711152963e-06,4,18.263039168364767,0.01826303916836477
1.1689518164985777e-05,4,22.198253837282007,0.022198253837282005
1.4208308325339208e-05,4,26.98140593587338,0.02698140593587338
1.7269832906594325e-05,4,32.79520414590955,0.03279520414590955
2.0991037201085544e-05,4,39.861726165348195,0.039861726165348194
2.551406520031287e-05,4,48.45090171757286,0.04845090171757286
3.1011689265747754e-05,4,58.89082343068671,0.05889082343068671
3.7693909753883636e-05,4,71.58027944578905,0.07158027944578904
4.581597669054491e-05,4,87.00398647962142,0.08700398647962142
5.568813990945267e-05,4,105.75110521996515,0.10575110521996516
6.768750009458528e-05,4,128.53774531197558,0.1285377453119756
8.227241341700457e-05,4,156.23431958957016,0.15623431958957015
9.999999999999999e-05,4,189.8987924393119,0.1898987924393119
9.999999999999999e-10,20,0.00037979758487862385,3.7979758487862386e-07
1.2154742500762884e-09,20,0.0004616341846611309,4.616341846611309e-07
1.4773776525985095e-09,20,0.0005611044644105646,5.611044644105646e-07
1.795714494371641e-09,20,0.0006820080280938884,6.820080280938884e-07
2.1826447283974827e-09,20,0.0008289631964934239,8.289631964934239e-07
2.6529484644318945e-09,20,0.0010075834195986872,1.0075834195986873e-06
3.2245905452963976e-09,20,0.0012246917013260168,1.2246917013260168e-06
3.919406774847213e-09,20,0.0014885812272438879,1.488581227243888e-06
4.76393801040134e-09,20,0.0018093321508619055,1.8093321508619055e-06
5.790443980602495e-09,20,0.002199196639207793,2.199196639207793e-06
7.038135554931547e-09,20,0.002673066885811375,2.6730668858113753e-06
8.554672535565684e-09,20,0.0032490439684353402,3.24904396843534e-06
1.03979841848149e-08,20,0.003949129280998826,3.949129280998826e-06
1.2638482029342972e-08,20,0.004800064951276351,4.800064951276351e-06
1.5361749466718295e-08,20,0.005834355346970096,5.834355346970096e-06
1.8671810912919206e-08,20,0.007091508690037048,7.091508690037048e-06
2.2695105366946686e-08,20,0.008619546206932248,8.619546206932248e-06
2.7585316176291813e-08,20,0.010476836461868868,1.0476836461868868e-05
3.352924149249553e-08,20,0.01273432494166195,1.273432494166195e-05
4.075392965871778e-08,20,0.015478244058694333,1.5478244058694332e-05
4.95353520895917e-08,20,0.018813407089739224,1.8813407089739225e-05
6.020894493336125e-08,20,0.02286721187378066,2.2867211873780662e-05
7.318242219076181e-08,20,0.027794507203619145,2.7794507203619147e-05
8.895134973108236e-08,20,0.033783507799558916,3.378350779955892e-05
1.0811807510766077e-07,20,0.04106298380761522,4.106298380761522e-05
1.3141473626117555e-07,20,0.0499109994494558,4.99109994494558e-05
1.5973122800602523e-07,20,0.06066553462638519,6.0665534626385185e-05
1.9414919457438817e-07,20,0.07373739520548266,7.373739520548265e-05
2.3598334667821937e-07,20,0.08962590513996276,8.962590513996276e-05
2.8683168133420086e-07,20,0.10893797983740454,0.00010893797983740454
3.486365227678088e-07,20,0.13241130934769516,0.00013241130934769517
4.2375871606040634e-07,20,0.16094253693100885,0.00016094253693100884
5.150678076168121e-07,20,0.1956215093815929,0.00019562150938159288
6.260516572014815e-07,20,0.23777290741438284,0.00023777290741438284
7.609496685459867e-07,20,0.28900684632795515,0.00028900684632795516
9.249147277217336e-07,20,0.3512803798073844,0.0003512803798073844
1.124210035062086e-06,20,0.42697225621289336,0.00042697225621289337
1.3664483492953245e-06,20,0.5189737829237464,0.0005189737829237464
1.6608827826277165e-06,20,0.6307992696084952,0.0006307992696084952
2.018760254679039e-06,20,0.7667202691760546,0.0007667202691760546
2.4537511066398165e-06,20,0.9319287441950529,0.0009319287441950529
2.982471286216888e-06,20,1.132735391475017,0.0011327353914750168
3.625117049988528e-06,20,1.3768107004879646,0.0013768107004879645
4.406236427773573e-06,20,1.6734779536726179,0.001673477953672618
5.355666917706896e-06,20,2.034069360759423,0.002034069360759423
6.509675230458163e-06,20,2.47235893087221,0.0024723589308722096
7.912342618981327e-06,20,3.005088617421314,0.0030050886174213137
9.617248711152963e-06,20,3.6526078336729535,0.0036526078336729536
1.1689518164985777e-05,20,4.439650767456402,0.004439650767456402
1.4208308325339208e-05,20,5.396281187174677,0.005396281187174677
1.7269832906594325e-05,20,6.559040829181909,0.006559040829181909
2.0991037201085544e-05,20,7.972345233069638,0.007972345233069639
2.551406520031287e-05,20,9.690180343514573,0.009690180343514572
3.1011689265747754e-05,20,11.778164686137341,0.01177816468613734
3.7693909753883636e-05,20,14.316055889157807,0.014316055889157808
4.581597669054491e-05,20,17.400797295924285,0.017400797295924284
5.568813990945267e-05,20,21.15022104399303,0.021150221043993032
6.768750009458528e-05,20,25.707549062395113,0.025707549062395113
8.227241341700457e-05,20,31.246863917914027,0.031246863917914026
9.999999999999999e-05,20,37.97975848786238,0.03797975848786238
9.999999999999999e-10,80,9.494939621965596e-05,9.494939621965596e-08
1.2154742500762884e-09,80,0.00011540854616528272,1.1540854616528272e-07
1.4773776525985095e-09,80,0.00014027611610264114,1.4027611610264115e-07
1.795714494371641e-09,80,0.0001705020070234721,1.705020070234721e-07
2.1826447283974827e-09,80,0.00020724079912335598,2.0724079912335598e-07
2.6529484644318945e-09,80,0.0002518958548996718,2.5189585489967183e-07
3.2245905452963976e-09,80,0.0003061729253315042,3.061729253315042e-07
3.919406774847213e-09,80,0.00037214530681097197,3.72145306810972e-07
4.76393801040134e-09,80,0.0004523330377154764,4.523330377154764e-07
5.790443980602495e-09,80,0.0005497991598019483,5.497991598019483e-07
7.038135554931547e-09,80,0.0006682667214528438,6.682667214528438e-07
8.554672535565684e-09,80,0.0008122609921088351,8.12260992108835e-07
1.03979841848149e-08,80,0.0009872823202497064,9.872823202497065e-07
1.2638482029342972e-08,80,0.0012000162378190877,1.2000162378190877e-06
1.5361749466718295e-08,80,0.001458588836742524,1.458588836742524e-06
1.8671810912919206e-08,80,0.001772877172509262,1.772877172509262e-06
2.2695105366946686e-08,80,0.002154886551733062,2.154886551733062e-06
2.7585316176291813e-08,80,0.002619209115467217,2.619209115467217e-06
3.352924149249553e-08,80,0.0031835812354154874,3.1835812354154876e-06
4.075392965871778e-08,80,0.003869561014673583,3.869561014673583e-06
4.95353520895917e-08,80,0.004703351772434806,4.703351772434806e-06
6.020894493336125e-08,80,0.005716802968445165,5.716802968445166e-06
7.318242219076181e-08,80,0.006948626800904786,6.948626800904787e-06
8.895134973108236e-08,80,0.008445876949889729,8.44587694988973e-06
1.0811807510766077e-07,80,0.010265745951903806,1.0265745951903805e-05
1.3141473626117555e-07,80,0.01247774986236395,1.247774986236395e-05
1.5973122800602523e-07,80,0.015166383656596297,1.5166383656596296e-05
1.9414919457438817e-07,80,0.018434348801370664,1.8434348801370663e-05
2.3598334667821937e-07,80,0.02240647628499069,2.240647628499069e-05
2.8683168133420086e-07,80,0.027234494959351135,2.7234494959351134e-05
3.486365227678088e-07,80,0.03310282733692379,3.310282733692379e-05
4.2375871606040634e-07,80,0.04023563423275221,4.023563423275221e-05
