leak_rate_mbar_l_s,temperature_K,pressure_bar_abs,mass_flow_g_s,mass_flow_g_day,mass_flow_g_year,density_kg_m3,velocity_m_s,speed_of_sound_m_s,mach_est,critical_pressure_ratio,actual_pressure_ratio,is_choked
1e-06,20,12,2.888414213085587e-08,0.002495589880105947,0.9115142037086973,28.88414213085587,0.0005092958178940651,262.6122195960963,1.9393454679198626e-06,0.48808375993399744,0.08333333333333333,1.0
1e-06,50,1,9.628047376951957e-10,8.318632933686491e-05,0.030383806790289906,0.9628047376951957,0.0005092958178940651,415.22637765798396,1.226549769710355e-06,0.48808375993399744,1.0,0.0
1e-06,50,5,4.814023688475979e-09,0.00041593164668432455,0.15191903395144954,4.814023688475978,0.0005092958178940652,415.22637765798396,1.2265497697103551e-06,0.48808375993399744,0.2,1.0
1e-06,50,12,1.155365685234235e-08,0.000998235952042379,0.36460568148347894,11.553656852342348,0.0005092958178940652,415.22637765798396,1.2265497697103551e-06,0.48808375993399744,0.08333333333333333,1.0
1e-06,80,1,6.017529610594974e-10,5.199145583554057e-05,0.018989879243931192,0.6017529610594973,0.0005092958178940652,525.2244391921926,9.696727339599315e-07,0.48808375993399744,1.0,0.0
1e-06,80,5,3.008764805297487e-09,0.0002599572791777029,0.09494939621965597,3.0087648052974862,0.0005092958178940652,525.2244391921926,9.696727339599315e-07,0.48808375993399744,0.2,1.0
1e-06,80,12,7.221035532713968e-09,0.0006238974700264868,0.22787855092717432,7.221035532713968,0.0005092958178940651,525.2244391921926,9.696727339599313e-07,0.48808375993399744,0.08333333333333333,1.0
1e-06,300,1,1.604674562825326e-10,1.3864388222810817e-05,0.005063967798381651,0.1604674562825326,0.0005092958178940652,1017.0927530062459,5.007368466530974e-07,0.48808375993399744,1.0,0.0
1e-06,300,5,8.02337281412663e-10,6.932194111405409e-05,0.025319838991908254,0.8023372814126629,0.0005092958178940652,1017.0927530062459,5.007368466530974e-07,0.48808375993399744,0.2,1.0
1e-06,300,12,1.925609475390391e-09,0.0001663726586737298,0.060767613580579805,1.9256094753903912,0.000509295817894065,1017.0927530062459,5.007368466530972e-07,0.48808375993399744,0.08333333333333333,1.0
1e-05,4,1,1.203505922118995e-07,0.010398291167108116,3.7979758487862396,12.035059221189945,0.005092958178940653,117.44375494779472,4.336508298124953e-05,0.48808375993399744,1.0,0.0
1e-05,4,5,6.017529610594974e-07,0.05199145583554058,18.989879243931195,60.17529610594973,0.005092958178940653,117.44375494779472,4.336508298124953e-05,0.48808375993399744,0.2,1.0
1e-05,4,12,1.444207106542794e-06,0.1247794940052974,45.57571018543487,144.42071065427936,0.005092958178940652,117.44375494779472,4.3365082981249526e-05,0.48808375993399744,0.08333333333333333,1.0
1e-05,10,1,4.81402368847598e-08,0.004159316466843246,1.5191903395144957,4.814023688475978,0.005092958178940653,185.6948812988504,2.7426486628590676e-05,0.48808375993399744,1.0,0.0
1e-05,10,5,2.40701184423799e-07,0.020796582334216232,7.595951697572479,24.07011844237989,0.005092958178940653,185.6948812988504,2.7426486628590676e-05,0.48808375993399744,0.2,1.0
1e-05,10,12,5.776828426171176e-07,0.04991179760211896,18.23028407417395,57.76828426171174,0.005092958178940653,185.6948812988504,2.7426486628590676e-05,0.48808375993399744,0.08333333333333333,1.0
1e-05,20,1,2.40701184423799e-08,0.002079658233421623,0.7595951697572478,2.407011844237989,0.005092958178940653,262.6122195960963,1.9393454679198635e-05,0.48808375993399744,1.0,0.0
1e-05,20,5,1.203505922118995e-07,0.010398291167108116,3.7979758487862396,12.035059221189945,0.005092958178940653,262.6122195960963,1.9393454679198635e-05,0.48808375993399744,0.2,1.0
1e-05,20,12,2.888414213085588e-07,0.02495589880105948,9.115142037086976,28.88414213085587,0.005092958178940653,262.6122195960963,1.9393454679198635e-05,0.48808375993399744,0.08333333333333333,1.0
1e-05,50,1,9.628047376951961e-09,0.0008318632933686494,0.3038380679028992,0.9628047376951957,0.005092958178940654,415.22637765798396,1.2265497697103557e-05,0.48808375993399744,1.0,0.0
1e-05,50,5,4.8140236884759803e-08,0.004159316466843247,1.519190339514496,4.814023688475978,0.005092958178940654,415.22637765798396,1.2265497697103557e-05,0.48808375993399744,0.2,1.0
1e-05,50,12,1.1553656852342351e-07,0.009982359520423792,3.64605681483479,11.553656852342348,0.005092958178940652,415.22637765798396,1.2265497697103552e-05,0.48808375993399744,0.08333333333333333,1.0
1e-05,80,1,6.017529610594975e-09,0.0005199145583554058,0.18989879243931196,0.6017529610594973,0.005092958178940653,525.2244391921926,9.696727339599317e-06,0.48808375993399744,1.0,0.0
1e-05,80,5,3.0087648052974875e-08,0.002599572791777029,0.9494939621965599,3.0087648052974862,0.005092958178940653,525.2244391921926,9.696727339599317e-06,0.48808375993399744,0.2,1.0
